iter	RMSE
0	260.4307229
1	254.0903296
2	247.2075084
3	241.1990526
4	236.1016906
5	232.4309174
6	228.4854407
7	225.5854011
8	223.2049164
9	220.8936345
10	218.0043871
11	214.9883206
12	212.5127733
13	210.4508014
14	208.4611192
15	206.8120038
16	205.3272292
17	204.0764432
18	202.7094305
19	201.8140765
20	201.0844321
21	200.2869008
22	199.013029
23	197.8831495
24	196.1234934
25	195.3850306
26	194.5106566
27	194.012103
28	192.5200334
29	191.21756
30	190.5773249
31	189.9980915
32	188.0608885
33	187.5941611
34	187.3027607
35	186.5072623
36	186.1579624
37	184.6834572
38	184.3401517
39	183.9214061
40	183.4865822
41	182.358244
42	181.4729918
43	180.9429433
44	180.6379541
45	180.1145126
46	179.3943941
47	179.1763956
48	178.5530488
49	178.2763951
50	177.2302035
51	176.1618248
52	175.8429312
53	175.5874991
54	174.5655167
55	174.366782
56	174.0853597
57	172.5583596
58	171.2287404
59	170.8669534
60	170.3302635
61	169.3775449
62	169.1145982
63	168.5696849
64	167.8620162
65	166.9090692
66	166.3307093
67	166.2294076
68	166.1483142
69	165.2775297
70	165.0013685
71	164.7021583
72	164.3548067
73	164.1548667
74	163.2687267
75	162.9532002
76	162.5541811
77	162.2152813
78	162.0896094
79	161.696094
80	161.6939116
81	161.2421508
82	161.0107379
83	160.7540002
84	159.9127464
85	159.0413797
86	158.7754877
87	158.0214461
88	157.5226891
89	157.2763161
90	156.4382384
91	155.9871099
92	155.2335807
93	154.8556282
94	154.5426017
95	154.4128613
96	153.9861876
97	153.5928439
98	153.2800759
99	152.5906825
