iter	Passed	Remaining
0	113	11204
1	218	10720
2	294	9521
3	361	8668
4	442	8416
5	512	8025
6	586	7795
7	678	7804
8	768	7771
9	838	7543
10	932	7542
11	999	7330
12	1073	7181
13	1156	7106
14	1230	6975
15	1326	6966
16	1415	6911
17	1490	6791
18	1560	6651
19	1637	6551
20	1734	6525
21	1804	6397
22	1880	6296
23	1953	6185
24	2029	6089
25	2095	5965
26	2200	5948
27	2271	5840
28	2358	5775
29	2471	5766
30	2554	5686
31	2654	5641
32	2736	5555
33	2811	5457
34	2894	5375
35	2978	5295
36	3061	5213
37	3185	5197
38	3278	5127
39	3351	5026
40	3439	4949
41	3517	4857
42	3624	4804
43	3717	4730
44	3799	4643
45	3896	4573
46	3971	4478
47	4163	4510
48	4308	4484
49	4415	4415
50	4448	4273
51	4503	4157
52	4604	4083
53	4701	4004
54	4795	3923
55	4891	3843
56	5000	3772
57	5105	3697
58	5206	3618
59	5303	3535
60	5415	3462
61	5492	3366
62	5563	3267
63	5655	3181
64	5734	3087
65	5810	2993
66	5888	2900
67	5960	2805
68	6040	2713
69	6122	2623
70	6198	2531
71	6293	2447
72	6377	2358
73	6474	2274
74	6546	2182
75	6626	2092
76	6708	2003
77	6787	1914
78	6868	1825
79	6913	1728
80	6918	1622
81	6962	1528
82	7034	1440
83	7103	1353
84	7187	1268
85	7265	1182
86	7359	1099
87	7381	1006
88	7472	923
89	7604	844
90	7724	763
91	7862	683
92	7973	600
93	8048	513
94	8127	427
95	8204	341
96	8288	256
97	8364	170
98	8439	85
99	8507	0
